File Name,Dimension,Open List Size,Closed List Size,Number of Steps in a Solution,Running Time
board01.txt,3,4,9,5,0.023
board02.txt,3,1,8,4,0.001
board03.txt,3,96,171,46,0.019
board04.txt,3,1,7,3,0.001
board05.txt,3,170,311,85,0.022
board06.txt,3,5,17,12,0.002
board07.txt,3,2,8,4,0.002
board08.txt,4,103,125,87,0.008
board09.txt,4,749,1089,183,0.044
board10.txt,4,1029,1299,180,0.048
board11.txt,4,650,817,102,0.025
board12.txt,4,1067,1500,193,0.033
board13.txt,4,658,865,152,0.013
board14.txt,4,958,1179,120,0.019
board15.txt,5,1678,1988,346,0.052
board16.txt,5,1810,1999,340,0.043
board17.txt,5,1602,1782,359,0.029
board18.txt,5,1717,1948,410,0.052
board19.txt,5,1556,1710,314,0.059
board20.txt,5,1635,1762,357,0.032
board21.txt,6,2304,2601,552,0.053
board22.txt,6,2558,2792,636,0.135
board23.txt,6,1463,1590,481,0.033
board24.txt,6,2774,2979,647,0.068
board25.txt,6,2488,2633,609,0.052
board26.txt,7,2823,2933,829,0.054
board27.txt,7,3187,3315,882,0.069
board28.txt,7,2770,2906,798,0.055
board29.txt,7,4036,4303,988,0.086
board30.txt,7,2015,2160,700,0.045
board31.txt,8,4093,3874,1179,0.066
board32.txt,8,5379,5296,1455,0.105
board33.txt,8,5605,5635,1256,0.129
board34.txt,8,5411,5568,1225,0.198
board35.txt,8,4372,4438,1230,0.084
board36.txt,9,4326,4019,1506,0.069
board37.txt,9,5087,4934,1679,0.08
board38.txt,9,5784,5311,1634,0.113
board39.txt,9,5053,4690,1630,0.101
board40.txt,9,5542,4987,1662,0.134
